"filename", "language", "Go Module File", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "MS SQL", "Markdown", "XML", "Svelte", "CSS", "Go", "HTML", "comment", "blank", "total"
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\lib\active_button.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\lib\index.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 6, 27
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\lib\table\Pagination.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 9, 91
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\lib\table\Search.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 1, 8, 61
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\lib\table\Table.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 7, 57
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 412, 0, 0, 0, 3, 9, 424
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\customer\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\customer\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 4, 9, 272
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\customer\riwayat_customer\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\customer\riwayat_customer\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 4, 8, 192
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\dashboard\+page.server.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\dashboard\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 3, 10, 89
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\hooks.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\login\+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\login\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 2, 6, 68
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\product\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\product\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 0, 0, 8, 276
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\product\input_product\+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\product\input_product\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 3, 111
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\request_barang\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\request_barang\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 4, 10, 207
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\request_barang\riwayat_request_barang\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\request_barang\riwayat_request_barang\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 4, 8, 193
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\return_barang\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\return_barang\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 4, 15, 212
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\return_barang\riwayat_return_barang\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\return_barang\riwayat_return_barang\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 4, 12, 197
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\santet\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\santet\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 10, 49
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\stock_opname\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\stock_opname\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 8, 165
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\transaksi\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\transaksi\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 4, 9, 220
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\transaksi\input_transaksi\+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\transaksi\input_transaksi\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 9, 134
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\transaksi\laporan\+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\transaksi\laporan\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 2, 45
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\transaksi\riwayat_transaksi\+page.server.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\src\routes\transaksi\riwayat_transaksi\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 4, 8, 205
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\Cell Action Button-(Compressify.io) (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\Cell Action Button-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\Frame-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\Search-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\Tool-(Compressify.io) (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\Tool-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\Vector-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\hugeicons_return-request-(Compressify.io) (1).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\hugeicons_return-request-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\hugeicons_transaction-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\ic_baseline-plus-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\icon-park-outline_mail-download-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\lets-icons_back-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\lucide_list-restart-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\material-symbols_close-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\material-symbols_dashboard-outline-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\material-symbols_person-outline-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\package-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\static\icons\pajamas_hamburger-(Compressify.io).svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\svelte.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 19
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\tsconfig.json", "JSON with Comments", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 20
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebApotik\vite.config.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\.prettierrc", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 15, 39
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\package-lock.json", "JSON", 0, 3970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3971
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\src\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\src\app.d.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 7, 2, 14
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\src\lib\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\src\routes\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\svelte.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 19
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\tsconfig.json", "JSON with Comments", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 20
"s:\magang\proyekApotik\FrontEnd_Web\Apotik_Batarangin_General_Hospital_WebManajemen\vite.config.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"Total", "-", 21, 8684, 88, 28, 389, 827, 48, 19, 3068, 60, 4500, 24, 342, 1515, 19613
